accuracy,sparsity,seed,model,dataset,layer_id,layer_name,iterative_spectral_gap,iterative_degree_bound,degree_bound,layer_sparsity,no_weights,no_params
0.746,0.98,1,Resnet-20,CIFAR-10,7,layer2.0.conv1,0.4452438354492187,-0.0985354133065188,-0.2247144492551948,0.0677083358168602,312.0,4608.0
0.746,0.98,1,Resnet-20,CIFAR-10,8,layer2.0.conv2,,,-0.3657319928059619,0.0206163190305233,190.0,9216.0
0.746,0.98,1,Resnet-20,CIFAR-10,9,layer2.0.shortcut.0,,,0.2005994363510711,0.302734375,155.0,512.0
0.746,0.98,1,Resnet-20,CIFAR-10,10,layer2.1.conv1,,,-0.6647519980646179,0.0141059029847383,130.0,9216.0
0.746,0.98,1,Resnet-20,CIFAR-10,11,layer2.1.conv2,,,-0.566154891832923,0.0092230904847383,85.0,9216.0
0.746,0.98,1,Resnet-20,CIFAR-10,12,layer2.2.conv1,,,-0.5825761759279781,0.0091145830228924,84.0,9216.0
0.746,0.98,1,Resnet-20,CIFAR-10,13,layer2.2.conv2,,,-0.5234886014430692,0.0087890625,81.0,9216.0
0.746,0.98,1,Resnet-20,CIFAR-10,14,layer3.0.conv1,,,-0.4905815299036843,0.0043402779847383,80.0,18432.0
0.746,0.98,1,Resnet-20,CIFAR-10,15,layer3.0.conv2,,,-0.2875454559157858,0.0033908421173691,125.0,36864.0
0.746,0.98,1,Resnet-20,CIFAR-10,16,layer3.0.shortcut.0,,,-0.0768995251681123,0.1171875,240.0,2048.0
0.746,0.98,1,Resnet-20,CIFAR-10,17,layer3.1.conv1,,,-0.4932738230984585,0.0006781683769077,25.0,36864.0
0.746,0.98,1,Resnet-20,CIFAR-10,18,layer3.1.conv2,,,-0.4112594570504143,0.0026312933769077,97.0,36864.0
0.746,0.98,1,Resnet-20,CIFAR-10,19,layer3.2.conv1,,,-0.4016884605938701,0.0015190972480922,56.0,36864.0
0.746,0.98,1,Resnet-20,CIFAR-10,20,layer3.2.conv2,0.0826281309127807,0.3466064226952149,-0.4736332952657291,0.0052354601211845,193.0,36864.0
0.746,0.98,1,Resnet-20,CIFAR-10,21,linear,4.53661322593689,0.7677059408496941,0.7338200459369093,0.939062476158142,601.0,640.0
0.7508,0.98,2,Resnet-20,CIFAR-10,0,conv1,1.9391052722930908,0.3962093028011287,0.3890795151424546,0.5925925970077515,256.0,432.0
0.7508,0.98,2,Resnet-20,CIFAR-10,1,layer1.0.conv1,0.8247405290603638,0.1806840373918856,0.1020258559917804,0.2265625,522.0,2304.0
